2026-03-25 16:11:07.865,2
2026-03-25 16:11:08.443,2
2026-03-25 16:11:08.942,2
2026-03-25 16:11:09.454,2
2026-03-25 16:11:09.948,2
2026-03-25 16:11:10.429,2
2026-03-25 16:11:11.264,2
2026-03-25 16:11:11.773,2
2026-03-25 16:11:12.219,2
2026-03-25 16:11:12.681,2
2026-03-25 16:11:13.152,2
2026-03-25 16:11:13.616,2
2026-03-25 16:11:14.068,3
2026-03-25 16:11:14.489,3
2026-03-25 16:11:14.965,2
2026-03-25 16:11:15.428,3
2026-03-25 16:11:15.914,3
2026-03-25 16:11:16.399,3
2026-03-25 16:11:16.910,3
2026-03-25 16:11:17.415,2
2026-03-25 16:11:17.897,2
2026-03-25 16:11:18.371,2
2026-03-25 16:11:18.867,2
2026-03-25 16:11:19.326,2
2026-03-25 16:11:19.780,2
2026-03-25 16:11:20.224,2
2026-03-25 16:11:21.871,2
2026-03-25 16:11:22.338,2
2026-03-25 16:11:22.823,2
2026-03-25 16:11:23.249,2
2026-03-25 16:11:23.717,2
2026-03-25 16:11:24.151,2
2026-03-25 16:11:24.557,2
2026-03-25 16:11:24.996,2
2026-03-25 16:11:25.444,2
2026-03-25 16:11:25.864,2
2026-03-25 16:11:26.287,2
2026-03-25 16:11:26.689,2
2026-03-25 16:11:27.140,2
2026-03-25 16:11:27.587,2
2026-03-25 16:11:28.002,2
2026-03-25 16:11:28.417,2
2026-03-25 16:11:28.862,2
2026-03-25 16:11:29.325,2
2026-03-25 16:11:29.793,2
2026-03-25 16:11:30.219,2
2026-03-25 16:11:30.624,2
2026-03-25 16:11:31.071,2
2026-03-25 16:11:31.570,2
2026-03-25 16:11:32.001,2
2026-03-25 16:11:32.431,2
2026-03-25 16:11:32.897,2
2026-03-25 16:11:33.338,2
2026-03-25 16:11:33.809,2
2026-03-25 16:11:34.223,2
2026-03-25 16:11:34.647,2
2026-03-25 16:11:35.155,2
2026-03-25 16:11:35.667,2
2026-03-25 16:11:36.589,2
2026-03-25 16:11:37.133,2
2026-03-25 16:11:37.612,2
2026-03-25 16:11:38.062,2
2026-03-25 16:11:38.524,2
2026-03-25 16:11:39.045,2
2026-03-25 16:11:39.551,2
2026-03-25 16:11:40.016,2
