timestamp_camera,people_count,timestamp_radar,total_energy,mean_energy,max_energy,active_cells,var_range,var_doppler,var_range_norm,var_doppler_norm,entropy,top1,top2,top3,top4,top5,peak_ratio_12,number_of_range_peaks,distance_between_top2_range_peaks,std_range_sum,std_doppler_sum,width_range,width_doppler,doppler_width_rel,energy_top5_ratio,doppler_pos_frac,time_diff_ms
2025-12-29 13:54:42.040,0,2025-12-29 13:54:42,21725.396825396827,67.89186507936509,7105.853479853478,135.0,15463732.50031913,5450025.78718873,0.0327626402309134,0.0115468392971218,2.399570605881189,7105.853479853478,5095.0,2077.8192918192926,1361.402930402931,1211.5750915750916,1.3946719293134608,0.0,0.0,3932.3952624728777,2334.5290289882305,15.0,19.0,1.0,0.7756659604003441,0.8953738808863698,40.0
2025-12-29 13:54:42.897,0,2025-12-29 13:54:43,3905.356532356532,12.204239163614163,550.869352869353,151.0,221822.5373307275,38849.44537745561,0.0145440142839675,0.0025472023505506,3.753295223067207,550.869352869353,396.22222222222223,284.1965811965812,227.43345543345544,184.35775335775332,1.3903040313549253,1.0,0.0,470.9804001555983,197.1026265107992,15.0,19.0,1.0,0.420724548825634,0.4986642121726903,103.0
2025-12-29 13:54:44.111,0,2025-12-29 13:54:44,19119.642246642245,59.748882020757016,9016.853479853478,142.0,10506633.787215516,6353047.263187672,0.0287411453768148,0.0173789111408101,2.3906515008621483,9016.853479853478,2295.8192918192926,1226.7008547008545,1011.2222222222222,614.5409035409035,3.927510110216149,0.0,0.0,3241.393803167939,2520.5251959041534,15.0,19.0,1.0,0.740868294992479,0.8023625666206468,111.0
2025-12-29 13:54:44.929,0,2025-12-29 13:54:45,4260.031746031746,13.312599206349203,714.990231990232,159.0,199457.5853450176,64195.1188982514,0.0109906881689248,0.0035373361838171,3.749929439555839,714.990231990232,436.8412698412698,399.22222222222223,281.7643467643468,165.7032967032967,1.636727757540842,1.0,0.0,446.606745745088,253.36755691732003,15.0,19.0,1.0,0.4691329752137498,0.5440431348426881,71.0
2025-12-29 13:54:45.921,0,2025-12-29 13:54:46,16540.608058608057,51.68940018315018,4136.853479853478,121.0,7759997.099699047,1806914.196018388,0.0283634213892738,0.0066044185451974,2.916352879327089,4136.853479853478,2060.334554334554,1445.8192918192926,1398.990231990232,820.4029304029309,2.007855215138878,0.0,0.0,2785.6771348630923,1344.2150854749354,15.0,19.0,1.0,0.5962538047848432,0.7582557391221855,79.0
2025-12-29 13:54:48.113,0,2025-12-29 13:54:48,19248.05982905983,60.15018696581196,7894.0,127.0,11020294.446672782,5806870.982735652,0.0297453633642152,0.0156735818835348,2.252733640040301,7894.0,4073.8534798534783,1874.402930402931,1485.8192918192926,659.5750915750916,1.9377231014901355,0.0,0.0,3319.6828834502826,2409.7450036747978,15.0,19.0,1.0,0.8306110296640158,0.9220732394194175,113.0
2025-12-29 13:54:48.935,0,2025-12-29 13:54:49,2863.873015873016,8.949603174603174,503.33455433455424,133.0,52169.6770507677,25290.77484579456,0.0063607837858338,0.0030835757410144,3.899361923838026,503.33455433455424,259.22222222222223,171.18070818070817,90.46520146520146,90.01343101343099,1.9417106682355392,1.0,0.0,228.40682356437537,159.03073553811714,15.0,19.0,1.0,0.389059190487911,0.7170852248888143,65.0
2025-12-29 13:54:50.086,0,2025-12-29 13:54:50,8318.345543345542,25.99482982295482,2303.0,147.0,2141939.8751063566,497789.5105597785,0.0309551820140424,0.007194023083068,2.871869188170211,2303.0,1790.7008547008545,539.3345543345542,447.0854700854701,369.61538461538464,1.286088624994509,0.0,0.0,1463.5367693045353,705.5419977292482,15.0,19.0,1.0,0.6551466557067053,0.5202125434388699,86.0
2025-12-29 13:54:50.969,0,2025-12-29 13:54:51,6146.347985347986,19.207337454212457,2105.7008547008545,135.0,691326.1518974751,428412.387780368,0.0182998991413869,0.0113403832124438,2.9885764568775928,2105.7008547008545,688.2588522588524,402.8852258852259,402.4358974358975,323.5750915750916,3.0594606197754306,1.0,0.0,831.4602527466211,654.5321900261041,15.0,19.0,1.0,0.6382417544868612,0.3730624953936323,31.0
2025-12-29 13:54:53.057,0,2025-12-29 13:54:53,4961.1721611721605,15.503663003663002,1274.7008547008545,141.0,414325.80943212274,140868.87248602704,0.0168334600003099,0.0057232990952999,3.345390740310662,1274.7008547008545,763.5750915750916,281.2588522588524,263.42124542124543,161.5409035409035,1.6693850660709095,0.0,0.0,643.6814502781036,375.32502246190177,15.0,19.0,1.0,0.5531952648157971,0.4453012404015641,57.0
2025-12-29 13:54:53.936,0,2025-12-29 13:54:54,3849.399267399267,12.02937271062271,615.2222222222222,143.0,122850.79095569714,62982.58257350981,0.0082907159952587,0.0042504464212461,3.656556690121535,615.2222222222222,435.8852258852259,313.5775335775336,191.1965811965812,173.2148962148962,1.411431692761265,1.0,0.0,350.5007716905872,250.96330921772173,15.0,19.0,1.0,0.4491860518964101,0.6788576496402224,64.0
2025-12-29 13:54:56.994,0,2025-12-29 13:54:57,20976.94627594628,65.55295711233211,8561.853479853478,133.0,15953530.412740516,5527885.470617769,0.0362553642466815,0.0125624545831644,2.266790064009783,8561.853479853478,3587.7008547008545,1747.8192918192926,1502.990231990232,1015.3345543345542,2.3864457563770283,0.0,0.0,3994.187077834552,2351.1455655951568,15.0,19.0,1.0,0.7825590148705814,0.659768305446514,6.0
2025-12-29 13:54:59.074,0,2025-12-29 13:54:59,12656.06105006105,39.550190781440776,6064.853479853478,135.0,4736829.896394515,2424881.345867469,0.0295726788444324,0.0151388668889665,2.432277883304818,6064.853479853478,1015.3345543345542,997.8192918192926,633.002442002442,423.18070818070817,5.973256257216995,0.0,0.0,2176.425945534218,1557.2030522277655,15.0,19.0,1.0,0.72172459030179,0.8459790991376921,74.0
2025-12-29 13:54:59.858,0,2025-12-29 13:55:00,6231.266178266178,19.472706807081806,715.8534798534783,152.0,443250.8501508861,174656.44268409684,0.0114155534227992,0.0044981300124245,3.6387009268744537,715.8534798534783,617.4029304029309,526.5750915750916,496.81929181929263,454.0,1.1594591547939963,1.0,0.0,665.7708691065463,417.91918200065527,15.0,19.0,1.0,0.4510561277984746,0.6806574509929235,142.0
2025-12-29 13:55:02.070,0,2025-12-29 13:55:02,12362.514041514043,38.632856379731386,5784.853479853478,130.0,3864219.403664498,2794105.7247920604,0.0252841396962636,0.0182822329924582,2.368163033435628,5784.853479853478,1675.8192918192926,734.0,585.4029304029309,463.3577533577534,3.4519554155328462,1.0,0.0,1965.7617871106609,1671.5578735993738,15.0,19.0,1.0,0.747698520251845,0.8191034794519264,70.0
2025-12-29 13:55:02.855,0,2025-12-29 13:55:03,3812.687423687424,11.9146481990232,430.0,151.0,133283.86074743257,30451.53096415489,0.0091688561766525,0.0020948200795166,4.026740975106385,430.0,315.0854700854701,285.8693528693529,197.84126984126985,146.72283272283272,1.3647090736427596,1.0,0.0,365.0806222568278,174.50367034579784,15.0,19.0,1.0,0.3607741135485577,0.6066558188374664,145.0
2025-12-29 13:55:04.036,0,2025-12-29 13:55:04,13800.482295482296,43.12650717338217,3764.8534798534783,137.0,4900769.140408283,1757544.7181134378,0.0257321287802611,0.0092282182098043,2.808226390123774,3764.8534798534783,2390.7008547008545,1804.8192918192929,864.3345543345542,769.002442002442,1.5747907030898665,0.0,0.0,2213.768086410201,1325.7242240049163,15.0,19.0,1.0,0.6951721264010104,0.651458182833187,36.0
2025-12-29 13:55:06.014,0,2025-12-29 13:55:06,8754.442002442003,27.35763125763126,2524.8534798534783,140.0,1967946.388031839,626631.8277149983,0.0256777119782737,0.0081762753733231,2.945093475669853,2524.8534798534783,1462.0,820.3345543345542,472.81929181929263,442.4029304029309,1.7269859643308834,0.0,0.0,1402.8351250349554,791.600800729129,15.0,19.0,1.0,0.6536579093006004,0.838860104927624,14.0
2025-12-29 13:55:07.942,0,2025-12-29 13:55:08,7428.1452991453,23.212954059829062,2102.0,129.0,1278749.5356582336,523810.2493516284,0.0231752649864031,0.0094932126994432,2.885890070546681,2102.0,965.4029304029308,666.2222222222222,462.3577533577534,448.33455433455424,2.177329210219519,0.0,0.0,1130.8180824775634,723.7473656958127,15.0,19.0,1.0,0.6252324467658462,0.7832160326092603,58.0
