timestamp_camera,people_count,timestamp_radar,total_energy,mean_energy,max_energy,active_cells,var_range,var_doppler,var_range_norm,var_doppler_norm,entropy,top1,top2,top3,top4,top5,peak_ratio_12,number_of_range_peaks,distance_between_top2_range_peaks,std_range_sum,std_doppler_sum,width_range,width_doppler,doppler_width_rel,energy_top5_ratio,doppler_pos_frac,time_diff_ms
2026-01-02 11:39:23.767,1,2026-01-02 11:39:23.804,13917.28632175762,43.49151975549256,2955.010630758328,138,3135147.999621074,1400125.495971436,0.0161863498509951,0.0072286606934763,3.3519379684898274,2955.010630758328,1102.198440822112,1096.929836995039,988.8256555634302,893.734939759036,2.6810150707086398,1,0,1770.6349142669346,1183.268987158641,15,19,1.0,0.5056085892906148,0.7780924059229403,37.0
2026-01-02 11:39:24.167,1,2026-01-02 11:39:24.226,18720.646350106304,58.5020198440822,6026.929836995039,134,4049050.514369857,6156194.863596769,0.0115534454092272,0.0175659110778466,2.761626932831883,6026.929836995039,2424.5634301913537,1148.3338058114812,1094.8788093550672,1053.7533664068037,2.4857794033942398,1,0,2012.2252643205372,2481.1680442075603,15,19,1.0,0.6275669669221866,0.8018712744415286,59.0
2026-01-02 11:39:24.652,1,2026-01-02 11:39:24.649,7870.977321048902,24.596804128277817,796.1672572643515,130,298873.1979677507,646580.8861721021,0.0048242482556949,0.0104367562347227,3.5647903898553075,796.1672572643515,668.929836995039,623.0106307583274,581.5634301913536,500.87880935506735,1.1902104125594055,1,0,546.6929649883476,804.1025346136537,15,19,1.0,0.4028152839527203,0.7504880492427022,3.0
2026-01-02 11:39:25.104,1,2026-01-02 11:39:25.071,12105.302622253716,37.829070694542864,2503.417434443654,115,2396789.322337993,942333.9983638672,0.0163560548931719,0.0064306305361486,3.2902667890209547,2503.417434443654,903.0106307583274,842.6286321757616,780.5442948263643,728.929836995039,2.772301176940265,1,0,1548.1567499248883,970.7388929902144,15,19,1.0,0.4757031698334007,0.7233524595355695,33.0
2026-01-02 11:39:25.548,1,2026-01-02 11:39:25.494,5814.103472714387,18.16907335223246,870.8788093550673,119,199831.17519457705,215817.83492715185,0.0059115004814362,0.0063844254222701,3.4851794942902563,870.8788093550673,620.6555634301914,388.7533664068037,330.8639262934089,285.56343019135363,1.4031595955421043,3,8,447.024803780033,464.5619817926902,15,19,1.0,0.4294239184757358,0.6872645269816094,54.0
2026-01-02 11:39:25.999,1,2026-01-02 11:39:25.916,5666.543586109143,17.707948706591072,1436.8788093550672,128,243795.03550139104,224118.90732446316,0.0075925627583253,0.0069797847429037,3.242670270325692,1436.8788093550672,784.5442948263643,358.1672572643515,277.29907866761164,277.25230333097096,1.831482070328797,1,0,493.75604857195526,473.4119847706257,15,19,1.0,0.5530958503746072,0.6118693368875608,83.0
2026-01-02 11:39:26.457,1,2026-01-02 11:39:26.550,19358.7207654146,60.49600239192061,7070.010630758327,141,6485315.00084221,7636070.922780608,0.0173052454774471,0.0203758925795822,2.545817885289839,7070.010630758327,2155.8788093550675,1998.1672572643515,1463.4174344436542,1165.7143869596032,3.279410048503629,1,0,2546.628163050548,2763.34415568901,15,19,1.0,0.7156045426064391,0.8837896032440142,93.0
2026-01-02 11:39:26.904,1,2026-01-02 11:39:26.972,8297.363571934799,25.92926116229625,1651.8788093550672,117,397128.74831789534,828054.4802310588,0.005768343127651,0.0120275915319481,3.365878294097552,1651.8788093550672,924.1672572643516,427.7533664068037,390.7349397590361,390.17647058823536,1.787424079752667,2,3,630.1815201336003,909.9749887942298,15,19,1.0,0.4561341455705923,0.7524215935316211,68.0
2026-01-02 11:39:27.361,1,2026-01-02 11:39:27.395,23433.61445783132,73.23004518072288,6540.255138199858,139,12509995.978210704,5660887.889770085,0.0227813055648309,0.0103087496598499,2.6247777571038826,6540.255138199858,4976.417434443654,2156.6286321757616,1344.1672572643515,1222.1764705882354,1.3142497035982112,1,0,3536.9472682259066,2379.2620473100656,15,19,1.0,0.6930064059001368,0.5067494676367392,34.0
2026-01-02 11:39:27.810,1,2026-01-02 11:39:27.817,35931.16371367824,112.2848866052445,11315.417434443654,127,34463366.27985918,15813824.9211897,0.0266940905710657,0.0122488230340956,2.573957759737985,11315.417434443654,6935.010630758327,2937.2551381998583,2682.6286321757616,1456.1672572643515,1.6316366386311807,1,0,5870.550764609669,3976.6600208201994,15,19,1.0,0.7048610864557106,0.8171551035691454,7.0
