timestamp,raw
,"Time Error,85 17 10 18 5 13 16 16 4 10 53 16 4 2 4 5 377 130 10 1 13 13 9 1 4 29 4 1 10 20 18 16 50 4 17 4 8 4 10 37 25 10 10 16 25 29 37 5 340 128 29 8 13 5 10 13 4 2 17 20 37 13 4 13 269 58 32 20 13 10 10 1 20 9 1 9 17 13 4 5 481 225 40 1 8 8 25 17 17 10 2 5 4 8 4 10 185 45 5 8 5 5 16 25 5 0 8 18 52 25 4 8 421 89 8 10 13 17 25 52 25 5 8 16 13 41 4 8 932 985 52 10 13 0 2 25 5 16 10 5 8 20 16 8 8840 6472 50 565 274 50 212 853 884 45 122 82 4 5 2 17 12013 7514 169 961 554 53 745 3330 2745 265 160 221 73 17 16 20 38809 12610 17 170 169 61 325 853 541 61 130 121 17 20 13 37 373 226 90 100 117 65 20 53 37 9 20 18 1 2 4 10 1021 445 305 41 45 10 1 5 17 10 8 52 5 8 17 1 370 362 68 25 16 17 17 26 2 4 4 1 2 13 2 4 1066 340 29 5 34 29 29 0 17 10 5 2 4 5 8 20 340 153 13 13 10 18 13 5 0 5 13 13 1 2 18 4 313 80 10 5 18 45 25 25 2 1 5 5 0 4 8 9 325 85 8 20 5 13 20 1 17 10 5 13 5 2 5 10 185 53 2 1 1 13 5 2 5 2 2 10 8 8 5 10"
2026-01-02 11:39:12.186,338 72 5 1 1 9 20 13 4 5 9 17 5 4 5 13 185 52 4 8 8 2 10 8 2 0 5 1 1 1 17 13 148 64 17 20 8 9 17 26 4 17 8 2 5 1 9 25 409 34 8 0 5 5 1 5 4 13 18 13 4 9 10 13 325 149 5 17 2 4 17 1 1 2 25 17 18 0 16 17 4 10 26 1 4 8 16 4 10 25 18 20 5 1 8 2 541 61 16 10 5 13 16 10 5 5 40 2 5 8 4 2 292 100 2 13 5 2 9 0 5 17 4 18 10 1 8 2 569 149 17 4 8 13 10 13 18 17 25 18 10 8 13 17 6082 1201 40 58 85 16 13 20 20 2 40 45 5 2 13 40 8749 2405 29 41 164 29 97 25 160 25 5 68 1 1 9 25 33489 8506 9 61 73 25 16 10 98 34 5 8 13 4 8 17 397 116 5 1 5 20 5 5 8 20 10 10 4 1 5 10 850 265 13 13 20 26 2 20 4 10 41 9 5 2 5 18 765 221 5 13 1 10 20 10 16 20 13 13 5 17 9 10 482 113 1 2 10 61 34 40 13 4 5 1 5 1 8 5 250 80 4 9 2 5 17 32 20 13 4 29 9 1 5 9 557 173 13 8 5 10 2 1 2 1 1 4 5 2 1 2 346 153 2 45 20 17 4 4 2 10 4 4 5 17 13 5 317 82 5 1 2 2 5 5 4 5 10 9 25 26 37 26
2026-01-02 11:39:12.397,292 169 25 1 5 5 10 4 26 58 10 1 5 4 17 10 89 1 2 5 5 5 9 10 1 10 18 1 4 5 10 4 338 180 5 25 8 10 5 8 1 9 2 8 9 5 2 18 89 1 10 4 2 1 5 10 5 4 5 10 0 9 0 5 449 193 37 13 8 9 0 1 5 8 0 2 9 4 1 10 37 5 16 10 2 2 2 13 18 5 4 5 5 10 8 10 901 225 29 10 1 5 10 18 29 5 9 5 2 1 1 20 386 82 26 73 25 8 1 13 2 10 5 0 2 5 1 8 1780 377 9 4 2 10 5 16 25 17 4 5 13 8 5 13 12137 2312 13 25 29 10 34 36 25 17 13 25 26 16 34 53 5213 2465 26 41 106 26 130 50 65 4 17 73 5 10 45 25 39348 11272 17 50 116 13 26 17 41 18 8 50 2 8 2 2 785 292 20 8 34 25 1 10 16 8 1 4 1 2 0 1 433 250 26 34 25 34 20 17 4 2 10 13 1 5 17 5 829 290 17 10 16 25 26 25 25 5 2 1 10 1 13 9 365 122 8 16 25 41 5 10 5 1 5 10 5 4 2 4 500 121 13 16 2 10 5 16 25 10 5 5 9 20 13 37 712 212 10 1 10 5 17 10 2 13 8 1 5 20 13 5 554 185 1 41 40 26 2 2 2 10 13 1 5 2 5 2 466 121 17 4 1 5 10 8 9 1 8 5 4 8 10 1
2026-01-02 11:39:12.609,13 20 20 25 10 4 0 5 9 72 4 16 8 5 18 1 260 58 25 10 5 0 1 10 5 16 18 2 4 13 8 4 541 233 26 8 5 10 8 8 1 16 5 5 13 25 10 0 202 10 37 17 10 25 25 9 4 8 5 8 4 13 4 5 113 29 25 26 8 4 18 10 26 29 1 5 1 18 20 4 208 50 17 4 10 17 8 10 5 5 5 4 8 25 13 10 442 90 2 17 13 5 0 10 26 9 5 5 8 10 18 8 493 82 1 13 16 9 2 9 13 5 5 20 5 8 13 2 3034 680 18 0 4 1 10 2 0 40 10 20 9 13 34 36 6361 1096 45 73 100 20 34 61 29 20 18 13 2 13 80 100 11936 3497 26 74 169 25 113 80 153 40 13 40 2 5 13 34 35253 8857 16 49 116 37 37 49 113 32 8 16 17 5 20 2 1789 625 20 26 64 58 13 5 5 13 13 13 26 25 5 9 205 52 4 4 18 26 13 5 10 1 13 16 17 10 20 4 1657 481 41 64 13 8 4 17 25 37 4 10 10 5 5 5 233 53 41 80 25 18 26 5 20 8 5 10 10 4 5 10 205 26 16 37 20 1 5 2 10 9 5 1 13 8 4 1 872 377 40 18 13 5 1 4 8 1 5 4 5 5 2 20 242 34 29 20 4 4 4 10 2 20 5 10 1 1 16 20 337 100 5 10 17 2 1 2 9 1 20 5 1 20 5 10
2026-01-02 11:39:12.820,324 49 4 26 25 10 2 4 4 20 1 1 10 29 1 9 89 61 13 13 5 13 4 2 13 20 9 5 16 29 13 8 325 50 13 26 5 5 2 4 2 9 5 8 25 13 5 17 212 145 64 5 16 16 1 1 2 9 8 2 26 9 16 10 122 8 82 34 20 25 9 13 8 10 5 8 10 25 13 13 250 125 53 8 4 5 5 2 10 5 9 10 25 5 13 1 157 5 34 13 10 13 18 25 29 8 10 45 32 13 1 2 724 117 17 8 5 4 4 4 1 10 13 10 17 8 10 5 970 226 10 16 9 13 10 5 5 4 25 29 4 5 5 10 9298 1921 4 34 45 17 29 52 37 26 4 13 25 13 61 5 2708 986 25 61 145 9 74 80 153 61 10 40 10 26 34 17 33293 8698 17 36 101 10 5 17 113 61 13 10 13 5 0 5 1000 292 26 13 34 29 1 8 9 37 13 25 9 5 5 5 338 68 29 13 9 8 1 2 34 29 13 2 1 1 4 5 1490 485 40 5 13 1 2 4 1 18 0 5 18 10 17 2 250 74 4 4 2 4 4 17 5 2 4 1 1 13 10 25 244 40 9 5 4 5 5 2 2 20 26 25 5 10 8 5 452 136 1 18 10 18 10 13 8 29 17 10 2 13 10 2 392 170 16 4 13 1 8 16 2 4 5 26 8 2 4 5 370 37 37 25 17 5 0 5 17 2 8 5 10 4 5 5
2026-01-02 11:39:13.031,333 194 29 8 1 1 5 9 13 8 2 10 4 9 2 5 116 10 16 17 13 8 10 4 10 13 5 4 18 8 10 4 442 153 13 10 13 10 20 2 2 4 5 8 18 41 2 1 200 41 4 10 9 4 13 20 5 2 5 5 32 25 25 2 149 25 1 5 41 32 10 29 18 13 2 8 2 25 10 5 442 197 10 5 0 5 4 8 17 5 9 10 1 1 0 4 20 45 20 13 18 4 2 13 20 20 5 13 4 5 4 2 965 100 17 0 5 8 5 1 5 10 4 0 2 17 25 18 1669 328 4 20 18 41 41 16 13 20 36 41 2 29 146 149 9941 1714 13 10 40 5 8 82 148 89 5 9 25 50 221 100 4145 1105 4 20 162 25 85 68 100 37 2 37 10 5 18 40 29581 7456 18 29 80 25 17 16 41 50 17 17 10 1 10 5 1625 450 16 13 2 5 4 8 5 17 13 8 1 2 8 17 377 113 17 10 9 2 9 25 29 8 4 5 0 2 8 8 601 125 4 10 10 18 25 37 4 13 2 8 8 1 1 2 653 202 29 13 8 4 25 17 20 10 8 5 13 17 13 13 313 104 8 5 2 1 13 18 13 10 13 18 17 25 13 2 365 90 5 16 16 9 1 4 16 1 5 1 0 13 1 4 353 106 4 13 17 17 2 13 9 36 5 2 25 13 1 4 425 97 8 16 13 2 1 5 13 20 34 2 8 34 2 8
2026-01-02 11:39:13.242,738 265 4 4 5 5 10 4 17 10 10 4 8 0 1 5 149 32 2 2 10 17 5 13 25 20 2 8 4 5 10 5 74 61 13 4 16 17 4 0 2 2 10 5 4 1 4 2 272 73 10 1 1 4 5 13 13 8 8 5 1 5 5 1 74 5 45 13 5 5 9 20 10 4 5 1 5 17 13 9 464 317 45 5 45 25 13 13 25 25 20 5 9 18 13 13 234 40 17 13 10 1 5 13 17 18 29 25 16 4 10 20 50 25 26 25 29 20 8 26 104 122 49 18 8 41 130 18 3706 800 37 25 13 25 32 2 34 37 64 13 10 125 338 194 10285 1802 17 65 68 17 29 45 82 53 8 10 17 25 116 73 9949 2725 29 41 145 20 58 40 109 26 17 45 41 8 4 9 39953 10085 8 41 97 45 26 16 50 8 26 32 26 1 1 2 1945 445 10 20 17 5 2 1 5 20 8 5 5 13 1 2 145 34 4 20 25 20 9 9 25 29 13 4 17 5 10 13 1325 349 5 13 13 9 17 10 10 0 16 0 5 0 13 10 641 208 13 34 26 20 13 8 2 8 8 13 1 10 8 13 269 104 20 1 16 26 2 9 8 26 10 4 5 8 5 10 512 100 5 9 8 5 5 13 17 25 4 5 2 5 1 10 125 52 5 25 25 26 13 5 13 13 8 1 10 4 10 5 545 125 4 2 2 4 10 13 2 5 9 2 10 17 9 5
2026-01-02 11:39:13.453,725 205 10 8 10 16 8 17 37 10 13 4 1 1 5 5 65 37 5 2 2 8 5 25 25 73 20 8 4 1 10 5 146 37 10 20 25 13 9 10 5 20 10 2 13 13 26 20 509 145 20 4 5 8 10 20 25 8 4 2 4 13 20 17 353 40 13 4 8 9 9 20 13 8 8 2 2 10 20 9 233 65 2 17 18 10 5 4 2 4 5 10 4 5 2 10 225 61 5 13 4 2 1 5 17 13 1 4 20 29 45 4 349 116 10 10 5 20 25 37 20 13 10 4 5 58 145 25 1396 314 13 13 4 17 29 50 65 9 0 8 18 82 125 74 9505 1856 5 40 85 29 80 106 153 52 5 17 9 0 25 5 6865 2465 25 29 145 10 80 40 169 26 1 40 5 5 2 13 40001 10825 13 25 82 13 20 20 61 25 4 25 5 2 4 20 2152 634 9 13 8 2 16 4 4 2 13 1 5 8 8 1 305 58 1 2 0 10 4 26 13 2 1 4 1 5 10 17 772 244 4 8 10 4 2 10 1 8 4 5 5 0 9 29 761 164 1 4 5 32 10 5 5 5 20 8 13 10 13 29 274 116 2 10 5 2 8 9 5 10 10 10 16 8 17 10 481 90 2 13 5 9 2 1 2 1 18 5 13 25 25 18 245 116 4 1 5 17 17 13 9 9 2 13 17 13 8 10 569 125 2 16 10 29 13 13 2 13 8 4 17 17 2 5
2026-01-02 11:39:13.665,360 130 5 17 18 4 1 20 16 10 29 18 5 13 5 8 514 181 20 4 17 18 5 1 1 16 2 2 8 5 18 1 34 10 29 40 1 1 4 5 2 10 1 8 0 0 10 20 130 37 25 25 17 26 9 8 25 13 10 1 5 5 4 5 520 162 1 17 5 2 1 8 13 32 4 5 1 10 4 4 173 37 5 1 10 16 5 10 2 2 8 1 8 8 10 0 400 50 4 20 10 5 1 0 13 25 18 13 5 13 18 5 37 13 18 13 5 9 13 85 53 5 8 26 5 125 80 5 3428 905 13 32 20 1 40 361 293 29 9 29 9 61 149 17 6381 1450 29 40 68 45 100 200 325 106 2 2 2 4 58 49 5380 2081 25 45 149 32 65 10 116 65 5 41 13 29 8 13 27274 7421 5 49 40 13 2 4 45 45 4 25 17 13 4 10 1625 488 2 8 20 10 13 18 4 10 13 2 5 8 8 32 425 125 9 5 1 13 5 10 4 17 10 10 4 2 18 8 461 65 8 34 25 4 2 1 4 2 10 5 1 1 5 2 697 232 9 1 5 17 13 5 10 8 4 4 4 1 5 10 272 82 13 1 13 10 1 25 17 26 5 8 1 2 1 1 421 181 4 9 2 13 18 5 9 9 20 8 10 13 4 5 397 82 10 9 4 9 5 10 9 34 8 5 10 34 8 1 521 113 1 25 13 18 2 5 1 8 9 10 25 5 2 10
2026-01-02 11:39:13.876,373 128 8 5 5 5 1 5 5 9 8 4 5 8 2 8 205 49 8 5 9 0 2 18 34 25 5 2 5 2 9 4 68 45 10 13 9 10 2 17 10 5 8 1 1 1 1 1 296 85 5 25 17 53 5 8 17 18 4 8 13 2 1 5 82 68 8 5 2 20 13 4 13 34 20 20 29 29 1 8 356 113 5 8 8 9 17 9 2 5 26 29 65 45 13 13 229 29 13 13 25 13 1 8 25 10 13 58 68 29 16 13 170 37 8 9 5 0 10 40 16 8 5 10 26 20 65 29 925 464 49 37 17 26 29 18 1 40 25 68 25 221 185 125 4709 1109 73 20 17 50 65 10 2 4 34 25 29 289 153 145 8185 2825 53 25 116 58 90 13 26 13 5 18 13 49 25 34 28978 7625 20 26 82 53 50 50 34 10 5 49 9 4 1 4 1989 593 17 13 10 1 0 2 9 5 18 13 13 2 1 13 200 49 5 5 9 2 2 4 4 8 2 10 5 2 5 2 674 104 8 25 29 20 8 9 9 10 2 5 5 10 1 1 481 221 9 9 9 26 16 20 5 16 13 5 5 10 4 1 685 149 16 25 5 4 2 10 20 16 5 2 5 5 4 13 34 18 13 16 2 10 4 29 13 5 25 2 0 5 13 2 925 200 10 9 26 9 10 1 18 37 10 13 13 2 8 5 481 113 1 4 1 16 10 17 13 1 18 1 9 2 5 4
