timestamp,total_energy,mean_energy,max_energy,active_cells,var_range,var_doppler,var_range_norm,var_doppler_norm,entropy,top1,top2,top3,top4,top5,peak_ratio_12,number_of_range_peaks,distance_between_top2_range_peaks,std_range_sum,std_doppler_sum,width_range,width_doppler,doppler_width_rel,energy_top5_ratio,doppler_pos_frac
2026-01-02 11:39:12.186,6516.854712969522,20.365170978029756,1979.0106307583274,121,1064536.5695162474,376744.2935909508,0.025065969523323968,0.008870959675465485,2.914871523581497,1979.0106307583274,1191.4174344436542,394.7143869596032,258.6286321757616,252.8029766123317,1.6610556246231092,0,0,1031.763814793021,613.7949931295879,15,19,1.0,0.6255431861686369,0.8229652989433971
2026-01-02 11:39:12.397,20282.469170800847,63.38271615875264,7050.417434443654,126,12259491.776251886,5772969.030427303,0.029800998636033197,0.014033227913647172,2.3080318905892936,7050.417434443654,4561.255138199858,3024.6286321757616,738.3203401842666,624.1764705882354,1.5457187157534495,0,0,3501.355705473508,2402.7003621815397,15,19,1.0,0.7887993261995566,0.6134483547112682
2026-01-02 11:39:12.609,17642.09496810772,55.13154677533663,5166.010630758327,147,9099897.167788075,2765570.6457059104,0.029237226586941563,0.008885552673816882,2.689447709190413,5166.010630758327,2955.417434443654,1878.1764705882354,1486.7143869596032,1111.5315379163712,1.7479800215528811,0,0,3016.6035814783613,1663.0004948002602,15,19,1.0,0.7140790525977263,0.7873915618673978
2026-01-02 11:39:12.820,6897.183557760451,21.55369861800141,1722.2551381998583,132,1037689.7577437686,342195.02432507835,0.021813430060491003,0.007193332279190013,2.9403820660236315,1722.2551381998583,995.4174344436542,944.5315379163713,450.6286321757616,351.5442948263643,1.7301838189731011,0,0,1018.6705835272601,584.974379203977,15,19,1.0,0.6472753697468605,0.5012039754514462
2026-01-02 11:39:13.031,6710.035435861091,20.96886073706591,2365.2551381998583,135,1017596.3327146395,422277.93152782053,0.022600908954105048,0.009378832034828515,3.047746068519344,2365.2551381998583,592.5442948263643,513.1764705882354,212.5251594613749,199.83486888731397,3.9916933786173185,0,0,1008.7597993152976,649.8291556461749,15,19,1.0,0.5787355326334761,0.1512209728491746
2026-01-02 11:39:13.242,24840.33026222537,77.62603206945428,7655.417434443654,158,19711735.204622682,5315332.90080114,0.03194553201219017,0.008614215622081287,2.6633490814611736,7655.417434443654,3179.0106307583274,2709.2551381998583,2550.176470588235,1837.6286321757616,2.40811319105753,0,0,4439.789995554146,2305.5005748863173,15,19,1.0,0.7218699637594387,0.639106330877614
2026-01-02 11:39:13.453,17774.002834868883,55.54375885896526,7703.417434443654,137,8922797.825111773,5010347.74118018,0.02824428353277889,0.015859788036600354,2.3995195305686248,7703.417434443654,2577.6286321757616,1929.2551381998583,604.1984408221119,494.5648476257973,2.9885676075603858,0,0,2987.105258458726,2238.380606862957,15,19,1.0,0.7487938770414073,0.7295705136041455
2026-01-02 11:39:13.665,7239.088589652729,22.622151842664778,2272.176470588235,131,681546.8302411843,637305.8685924304,0.013005525934962132,0.012161303720757237,3.199368717592913,2272.176470588235,600.0049610205529,345.4656272147413,278.32175761871014,278.1793054571226,3.7869294725825045,1,0,825.5584959536086,798.3143920739687,15,19,1.0,0.521356808271895,0.16392030274256877
2026-01-02 11:39:13.876,7119.897944720056,22.249681077250177,1415.0106307583274,136,561790.8920566159,278581.5946012222,0.011082229938260534,0.005495470523980823,3.515601184465523,1415.0106307583274,814.7143869596032,507.7115520907158,441.19844082211193,273.9879518072289,1.7368180228622285,1,0,749.5271122892193,527.8082934183795,15,19,1.0,0.4849259061357591,0.6380631794624243
2026-01-02 11:39:14.087,6575.574769666903,20.54867115520907,484.8029766123317,144,151351.07086142545,187630.21536276926,0.003500403079633973,0.004339456469981384,3.9845694664842,484.8029766123317,467.7838412473423,366.32034018426657,360.7292700212615,351.7349397590361,1.0363824781090591,2,6,389.0386495727969,433.1630355452428,15,19,1.0,0.308926814610129,0.2350303983472185
