timestamp,raw
2025-12-26 14:40:07.994,81 10 10 5 10 20 13 13 13 18 17 2 1 2 1 1 169 37 5 4 2 4 1 1 5 4 17 10 2 13 18 4 530 180 41 18 1 13 2 10 5 53 17 8 26 8 5 5 225 40 25 50 5 1 9 13 5 37 37 8 10 4 20 1 409 104 26 5 5 26 1 2 5 40 18 29 5 5 4 4 290 130 25 17 10 5 5 25 5 25 52 8 8 5 5 2 257 97 29 10 5 8 4 1 4 36 25 10 2 5 17 1 29 5 37 17 1 1 13 8 13 8 8 20 10 13 8 5 1130 458 25 1 2 9 5 4 5 13 2 1 2 9 2 2 9113 1588 10 50 13 16 73 58 80 122 10 17 58 116 20 17 3226 2210 20 10 1 1 145 121 164 73 18 25 52 145 97 52 27953 7412 17 10 5 1 17 50 25 2 16 37 10 41 41 49 1090 313 10 5 2 5 9 5 10 34 13 10 8 13 2 2 244 85 10 1 1 0 10 5 10 5 13 8 5 13 4 2 653 157 1 4 4 8 2 8 9 13 2 5 1 4 4 2 613 164 9 13 5 0 5 5 9 10 4 2 1 1 13 1 117 29 13 9 10 20 5 1 5 16 4 18 13 5 10 5 1322 464 32 1 2 1 5 13 4 0 4 26 16 10 13 13 145 53 18 2 1 10 2 4 5 2 1 0 10 5 9 1 346 98 17 10 10 4 1 8 17 20 10 10 5 10 2 5
2025-12-26 14:40:08.205,180 37 13 20 8 1 17 4 9 18 4 1 5 20 2 1 162 85 10 8 4 5 10 29 18 13 5 1 20 5 13 29 545 113 10 0 4 9 5 4 1 5 5 5 18 10 2 25 136 74 16 10 10 2 1 1 1 4 18 13 8 5 5 8 221 68 26 20 20 4 4 2 25 1 5 10 5 5 16 4 333 68 1 2 9 2 17 9 10 73 20 5 1 13 5 5 245 52 26 2 5 5 4 13 1 40 58 0 4 1 2 2 145 29 25 20 5 8 13 17 26 20 5 0 5 8 13 8 985 405 85 18 8 9 5 9 16 65 10 4 5 18 8 1 9257 2529 34 178 25 13 205 113 29 17 4 10 130 121 389 65 9305 3917 26 185 10 113 313 45 2 85 10 40 101 148 225 73 37925 9605 65 25 8 68 45 5 13 10 25 13 8 13 4 1 997 205 2 8 13 2 5 9 18 9 5 4 2 5 2 5 337 80 5 25 10 9 0 5 2 2 18 8 8 9 9 5 340 113 20 9 2 13 2 16 45 36 5 1 2 5 2 1 520 146 5 5 2 10 4 0 9 2 25 32 10 20 1 10 180 40 2 4 17 20 5 2 1 13 4 5 29 8 13 8 881 233 5 1 2 2 1 13 8 13 2 4 8 29 17 9 181 65 9 10 2 8 5 4 16 2 9 1 20 25 9 5 392 130 34 2 1 10 17 29 17 16 1 8 5 16 5 5
2025-12-26 14:40:08.416,445 58 25 8 2 10 10 13 16 18 5 13 10 9 5 10 64 37 13 2 5 8 4 8 8 5 13 5 10 5 25 25 269 98 9 5 9 4 5 1 8 8 1 9 8 10 17 25 225 68 20 5 10 20 5 8 1 2 17 41 13 8 20 1 64 37 13 2 5 1 2 5 10 25 26 18 8 4 2 1 505 130 4 2 10 13 10 13 10 61 26 16 5 0 2 1 50 4 13 2 20 18 5 8 1 13 18 5 5 0 2 10 522 145 32 10 8 5 13 1 8 25 4 9 4 1 13 1 9770 5490 117 13 20 34 17 13 9 64 40 10 2 45 20 2 47765 34497 1268 160 25 64 394 169 45 305 164 37 37 373 296 1 40100 19508 290 104 40 89 425 153 4 200 250 100 34 256 100 4 47197 12389 32 4 10 26 45 25 41 34 85 41 17 25 10 2 3978 877 18 1 1 5 2 5 10 34 8 5 5 8 1 5 50 65 5 36 13 1 2 1 5 20 16 2 1 5 5 10 905 218 10 1 8 18 5 9 9 2 2 1 5 10 29 13 337 125 1 4 2 1 2 2 0 5 29 25 13 17 13 16 288 50 5 10 2 13 2 13 4 5 4 5 26 5 4 5 656 225 0 29 10 4 10 5 10 16 2 16 5 16 5 10 265 34 13 4 2 1 2 5 2 13 34 5 17 13 4 5 521 193 4 8 2 8 5 13 17 29 5 0 10 13 10 8
2025-12-26 14:40:08.627,136 10 5 25 13 4 1 5 10 9 1 2 10 5 2 4 5 4 18 17 16 1 8 8 8 10 36 2 1 5 2 13 548 205 45 20 17 1 40 34 18 10 8 1 20 4 4 0 50 18 37 26 18 13 50 36 10 25 5 10 18 20 13 2 169 50 4 5 1 1 16 13 13 1 26 13 41 10 5 8 442 153 5 4 5 17 10 4 5 34 26 10 13 34 1 8 125 34 5 10 17 13 26 5 10 68 74 13 5 0 5 10 801 370 17 13 2 20 9 17 34 90 52 5 16 1 25 18 3562 1305 8 10 5 5 9 1 10 20 26 5 8 4 8 10 92674 55498 101 100 234 25 677 328 4 29 5 25 13 8 5 13 11833 22345 260 116 373 98 1090 925 109 58 10 58 16 17 45 2 44145 6800 32 13 25 45 100 260 130 36 18 25 2 9 4 2 3298 661 10 1 1 5 0 10 5 1 8 2 10 8 9 1 226 146 17 40 13 1 5 4 17 32 29 1 10 9 5 9 1105 272 2 9 2 13 5 2 5 17 32 13 13 5 16 10 400 85 2 4 13 5 5 1 1 10 2 17 4 17 1 2 288 128 13 20 25 2 5 10 4 2 13 4 26 8 8 5 293 109 16 10 20 17 8 9 5 2 5 10 29 20 5 1 900 106 10 5 5 5 8 5 10 5 8 1 16 5 4 1 338 185 10 5 1 13 2 4 1 13 10 13 4 5 8 1
2025-12-26 14:40:08.839,202 106 10 2 10 5 4 17 17 29 1 8 13 1 4 0 13 5 9 4 2 5 2 5 2 5 9 2 1 1 2 4 740 185 1 5 5 5 18 13 9 17 5 5 2 10 10 1 401 90 4 17 10 4 10 13 1 26 8 10 13 17 10 5 288 116 52 5 5 5 8 25 10 17 8 10 16 2 5 5 765 65 58 37 0 5 1 4 1 0 2 1 2 4 1 5 17 50 50 9 20 25 5 2 4 1 26 1 4 9 1 1 725 157 13 25 5 5 4 26 13 53 20 5 13 16 13 9 1585 712 26 5 1 5 10 17 1 13 34 2 8 25 5 16 10337 12905 881 257 153 34 185 153 53 52 5 2 29 37 32 8 45412 41245 1165 521 400 34 346 130 144 41 8 20 25 113 100 72 51058 22658 52 52 80 2 52 34 52 37 45 17 8 25 61 20 617 221 16 10 1 4 10 4 26 20 1 10 9 10 4 10 1217 337 10 13 1 4 2 8 2 1 5 0 2 1 5 13 666 160 17 4 5 4 2 5 20 1 1 0 4 2 1 13 68 5 17 8 10 17 17 8 2 13 5 17 5 2 5 10 841 296 13 4 5 5 9 17 13 5 10 2 4 2 13 5 80 45 16 9 1 1 5 1 2 4 2 5 5 13 13 20 1017 296 17 0 2 5 8 10 9 5 13 5 13 17 41 26 232 109 0 8 4 1 10 2 34 34 5 5 5 8 17 13
2025-12-26 14:40:09.050,68 10 10 20 5 17 10 1 13 8 10 2 8 9 0 5 181 113 10 13 17 4 10 8 9 2 9 4 1 1 1 9 314 49 29 34 13 10 4 13 18 29 5 13 5 1 2 1 74 85 9 5 4 5 8 13 1 20 32 8 13 5 5 5 89 5 2 5 2 5 29 4 5 53 20 1 2 2 5 1 289 74 9 9 13 5 16 13 8 65 53 1 5 5 9 5 324 104 0 1 13 10 4 2 20 74 34 26 5 10 5 2 320 58 2 17 26 9 5 10 8 20 17 25 25 2 4 0 181 40 0 2 5 4 1 1 5 10 17 13 5 4 2 5 9325 2600 68 17 18 5 17 5 37 37 26 50 10 64 8 10 110468 57346 949 1 146 13 85 25 205 25 113 109 125 265 106 10 72605 32029 349 10 82 2 10 25 98 10 32 25 68 104 85 5 2624 628 18 5 9 5 5 9 2 1 17 10 5 10 5 1 325 169 41 40 20 0 13 1 5 29 5 10 5 1 1 5 925 232 29 5 5 13 17 5 13 8 4 4 0 16 10 2 272 29 17 4 2 1 13 5 5 4 2 4 5 10 8 16 288 130 34 16 17 20 13 17 25 5 8 2 9 5 13 5 164 65 9 9 5 1 20 4 5 13 1 8 5 4 4 0 674 125 17 10 2 4 13 20 4 2 8 2 1 8 9 8 373 162 10 1 2 10 5 2 8 20 1 5 1 5 2 10
2025-12-26 14:40:09.261,425 85 9 20 5 5 1 1 13 29 10 2 5 5 9 13 20 34 13 1 10 18 1 5 10 29 10 20 5 13 0 25 625 117 25 25 17 4 5 4 10 5 25 25 10 10 13 16 125 130 40 17 10 8 5 4 2 2 4 2 10 2 2 5 405 82 16 10 5 5 5 5 9 20 20 13 5 2 1 1 194 104 18 0 8 20 17 5 5 2 1 18 5 4 5 1 160 50 0 4 13 4 4 5 10 2 4 13 25 4 2 8 452 149 5 4 8 5 5 4 1 16 2 2 0 5 5 2 925 292 2 2 4 18 5 13 5 17 25 5 2 9 8 1 22945 21506 697 13 13 10 2 20 13 98 80 5 9 10 17 10 134980 202010 10180 85 148 122 169 697 26 265 98 20 74 250 148 20 27092 64985 4754 37 58 85 122 442 20 106 20 17 65 116 53 1 2500 997 73 2 13 17 10 1 1 9 9 1 10 1 2 2 289 170 20 26 5 5 13 1 2 9 18 1 5 4 8 1 233 72 2 10 17 25 25 25 20 13 2 2 4 20 8 5 1202 160 26 4 10 9 45 13 1 20 5 2 5 1 2 1 45 52 16 25 17 32 32 29 17 8 9 2 4 2 9 5 130 40 13 8 8 13 16 1 8 4 2 13 8 4 5 8 449 153 26 40 20 18 9 20 5 2 5 5 2 13 1 5 548 205 9 13 8 1 13 10 5 17 2 2 10 17 20 5
2025-12-26 14:40:09.472,122 37 2 5 5 5 1 5 5 13 34 2 2 26 18 1 233 40 0 17 13 13 5 8 13 65 25 5 26 29 17 10 40 36 18 10 4 10 5 10 2 26 17 9 13 8 9 10 164 37 9 5 2 2 8 13 5 17 5 2 1 8 1 4 185 74 10 5 13 20 4 16 5 8 20 2 1 2 2 5 250 68 13 5 10 13 13 10 10 20 4 1 13 10 13 1 116 20 2 29 25 17 10 25 5 5 25 2 4 17 1 1 212 37 8 8 10 10 1 2 1 17 2 13 5 8 1 2 2125 680 58 26 5 13 5 9 13 1 9 2 1 4 8 8 8210 4250 296 2 37 10 40 146 25 5 16 25 1 13 4 2 185681 175565 5524 601 2 8 218 557 104 5 65 45 50 81 13 4 147625 133250 4672 485 61 20 53 85 50 9 52 37 10 73 5 8 37 788 90 29 5 8 10 25 20 0 9 4 13 4 5 13 265 32 20 13 8 32 10 10 2 0 9 25 10 2 5 10 557 225 26 10 5 2 8 17 13 8 2 1 10 4 5 5 338 52 20 17 4 13 0 5 2 32 10 1 5 2 10 10 541 221 5 2 2 2 4 10 8 13 34 4 8 2 1 4 673 232 17 4 9 5 4 13 1 5 9 13 8 2 1 5 325 106 9 13 26 36 4 4 10 5 5 5 2 5 5 8 205 113 8 10 32 20 20 10 9 8 10 1 20 18 8 2
2025-12-26 14:40:09.684,196 82 18 17 8 10 18 2 4 25 13 5 5 2 4 5 265 65 5 25 5 1 8 1 1 5 34 8 5 5 2 10 100 52 16 8 25 32 2 1 8 2 16 2 5 4 13 10 464 80 4 5 5 1 8 10 4 32 9 5 8 13 17 5 117 61 2 10 17 20 4 8 2 34 13 5 5 2 18 5 160 74 18 5 13 20 4 2 13 40 8 5 4 1 4 18 916 229 16 5 10 2 13 18 5 10 52 5 2 5 17 26 356 146 25 5 4 5 13 17 16 5 5 1 9 17 29 13 1193 290 25 10 2 10 5 25 9 5 10 1 8 10 2 13 3221 2458 65 145 73 26 25 4 29 41 9 25 10 10 5 5 24601 14933 82 394 514 32 200 29 194 17 17 34 34 18 25 4 52273 29609 850 170 257 65 170 320 416 45 49 37 50 8 10 2 1405 4388 340 1 18 20 85 261 178 1 18 16 5 8 8 8 229 116 17 17 8 5 8 32 10 5 1 1 0 5 2 1 449 148 13 8 4 8 5 5 5 8 8 5 5 5 1 4 377 34 13 5 10 8 10 5 10 10 5 8 25 16 9 2 425 128 4 26 17 18 10 10 5 8 17 13 5 5 16 9 202 89 41 13 13 5 13 4 1 1 25 20 8 8 10 20 325 26 16 25 10 10 5 5 4 20 5 13 5 25 10 2 225 137 20 5 8 2 8 8 4 2 17 9 17 18 8 5
2025-12-26 14:40:09.895,130 52 9 20 18 10 5 10 10 5 9 2 5 13 16 8 185 9 25 25 20 17 2 1 25 50 10 13 10 5 8 17 50 25 1 4 10 9 10 1 5 50 40 2 1 2 4 9 365 113 17 13 5 34 34 26 13 32 10 5 2 4 1 2 117 10 40 37 13 10 25 9 2 0 9 1 8 2 0 26 13 61 61 20 34 26 2 5 5 13 5 1 5 9 1 13 730 194 40 4 2 4 13 17 10 5 25 20 26 5 9 1 386 146 5 5 4 5 2 10 5 2 1 10 10 2 2 2 848 272 4 25 13 1 10 2 13 13 10 1 1 1 5 10 4205 661 20 36 29 1 58 109 100 81 9 53 17 4 13 9 9986 2665 145 225 50 146 85 8 290 109 8 125 130 61 5 2 27620 5765 125 45 41 58 212 193 221 72 26 85 193 149 53 13 585 26 29 9 4 16 4 53 65 5 20 5 13 16 10 18 401 104 9 4 5 2 13 5 1 1 1 9 1 5 2 13 544 153 18 10 18 29 10 1 17 5 5 1 2 8 10 5 505 100 4 1 1 5 13 2 2 17 4 5 5 4 18 10 666 296 26 5 8 9 10 17 25 4 10 13 20 2 16 10 185 29 5 5 5 17 10 9 5 13 1 5 2 10 4 16 397 82 26 1 8 25 20 5 13 2 5 5 2 34 20 2 541 212 34 26 5 13 4 8 13 5 4 1 5 20 20 10
